prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
262141,6,Arnhem,2014,CMD,308,22,Vrouw,3,CMD,6/30/2015,1,HAVO,1,76.7,90,80,?
309026,25,Doetinchem,2014,CMD,289,26,Man,3,CMD,6/27/2016,1,MBO,0,68.3,62,67,?
311473,22,Nijmegen,2014,CMD,324,24,Man,5,CMD,6/30/2015,1,HAVO,0,75.9,73,72,?
326044,2,Arnhem,2014,CMD,267,22,Man,1,CMD,6/30/2015,1,Anders,?,76.7,50,69,?
340608,28,Den Bosch Eindhoven,2016,CMD,295,31,Vrouw,2,Niet Behaald,0,0,HAVO,1,13.9,69,82,0
342356,18,Ede Wageningen,2014,CMD,294,27,Man,1,Niet Behaald,0,0,HAVO,0,71.7,55,54,?
345369,18,Nijmegen,2014,CMD,294,26,Man,4,Niet Behaald,0,0,HAVO,1,3.4,0,0,?
360248,26,Nijmegen,2014,CMD,263,24,Vrouw,2,CMD,6/30/2015,1,HAVO,1,75.9,49,66,?
368426,17,Nijmegen,2016,CMD,299,27,Man,4,Niet Behaald,0,0,HAVO,1,50.9,65,59,0
373573,83,Westen,2014,CMD,618,16,Man,1,Niet Behaald,0,0,Anders,?,28.6,60,62,?
382030,32,Doetinchem,2014,CMD,304,27,Man,2,CMD,6/27/2016,1,MBO,?,71.7,42,59,?
390130,21,Nijmegen,2014,CMD,356,27,Vrouw,2,Niet Behaald,0,0,MBO,?,0.0,0,0,?
390261,2,Arnhem,2014,CMD,292,35,Vrouw,3,Niet Behaald,0,0,Anders,?,42.9,75,55,?
403673,24,Nijmegen,2015,CMD,262,31,Man,7,CMD,6/27/2016,1,HAVO,1,86.4,73,67,0
403987,2,Arnhem,2016,CMD,284,25,Vrouw,6,CMD,6/30/2017,1,HAVO,1,61.9,76,72,0
421894,16,Nijmegen,2015,CMD,280,28,Man,5,Niet Behaald,0,0,Buitenlands,0,25.9,49,28,0
424458,37,Doetinchem,2014,CMD,225,27,Man,1,CMD,6/27/2016,1,HAVO,1,89.1,66,68,?
431619,136,Noorden,2015,CMD,253,24,Man,3,CMD,6/30/2017,1,HAVO,1,86.1,63,65,0
431699,19,Nijmegen,2014,CMD,228,28,Man,3,CMD,6/27/2016,1,HAVO,1,86.3,69,67,?
432922,37,Zuiden,2014,CMD,240,27,Man,1,Niet Behaald,0,0,MBO,1,47.8,62,68,?
434320,19,Ede Wageningen,2014,CMD,238,22,Man,2,CMD,6/30/2015,1,HAVO,1,92.7,60,68,?
434962,19,Nijmegen,2015,CMD,260,30,Vrouw,3,CMD,6/30/2017,1,MBO,?,74.1,80,62,?
435469,4,Zevenaar,2014,CMD,222,35,Man,2,CMD,6/30/2015,1,HAVO,1,20.0,50,61,?
435966,2,Arnhem,2014,CMD,257,31,Man,2,CMD,6/27/2016,1,VWO,1,60.9,45,61,?
437211,26,Apeldoorn,2016,CMD,281,27,Man,1,CMD,6/30/2017,1,MBO,0,67.5,76,65,0
439059,3,Arnhem,2014,CMD,230,29,Man,4,Niet Behaald,0,0,HAVO,1,43.0,70,37,?
440077,2,Arnhem,2017,CMD,268,30,Man,1,CMD,1/29/2019,1,HAVO,1,38.6,90,77,0
441876,43,Utrecht,2014,CMD,260,24,Man,2,Niet Behaald,0,0,HAVO,1,3.8,0,0,?
442188,15,Zevenaar,2013,CMD,264,25,Man,1,INF,6/30/2015,1,MBO,?,0.0,87,79,?
442314,17,Nijmegen,2017,CMD,317,31,Man,2,CMD,1/29/2019,1,HAVO,1,37.9,57,57,1
443989,4,Arnhem,2014,CMD,257,27,Man,3,CMD,6/30/2015,1,HAVO,1,58.3,66,70,?
444904,40,Den Bosch Eindhoven,2014,CMD,237,27,Man,2,CMD,6/27/2016,1,HAVO,1,56.9,83,69,?
450942,83,Westen,2014,CMD,223,28,Man,1,CMD,6/27/2016,1,HAVO,1,68.6,45,66,?
453366,53,Deventer,2014,CMD,223,27,Man,1,CMD,6/30/2015,1,HAVO,1,63.3,59,69,?
453403,3,Arnhem,2013,CMD,260,20,Vrouw,3,INF,6/30/2015,1,MBO,?,100.0,73,52,?
453490,17,Zevenaar,2017,CMD,270,33,Man,1,CMD,6/27/2018,1,HAVO,1,71.2,65,62,0
454029,22,Doetinchem,2015,CMD,248,31,Man,3,CMD,6/27/2016,1,HAVO,1,88.9,83,57,1
454035,21,Doetinchem,2014,CMD,226,28,Man,1,Niet Behaald,0,0,HAVO,1,2.0,52,60,?
454306,67,Noord Gld Overijssel,2014,CMD,234,25,Man,1,Niet Behaald,0,0,HAVO,1,57.5,62,61,?
454612,22,Nijmegen,2016,CMD,276,27,Man,4,CMD,6/30/2017,1,MBO,?,85.0,63,73,0
455547,3,Arnhem,2014,CMD,238,27,Vrouw,3,CMD,6/27/2016,1,MBO,?,84.8,52,62,?
455730,6,Arnhem,2014,CMD,269,22,Man,1,Niet Behaald,0,0,MBO,?,29.3,40,54,?
455766,2,Arnhem,2014,CMD,261,27,Man,2,CMD,6/30/2015,1,MBO,?,65.0,55,73,?
456215,2,Arnhem,2014,CMD,258,24,Vrouw,2,CMD,6/27/2016,1,Buitenlands,?,79.6,66,63,?
456301,20,Nijmegen,2015,CMD,264,30,Man,2,CMD,6/30/2017,1,MBO,?,67.9,80,56,?
456362,47,Winterswijk,2014,CMD,238,29,Vrouw,1,CMD,6/30/2015,1,HAVO,1,94.9,80,72,?
456867,19,Nijmegen,2015,CMD,267,29,Man,2,CMD,6/27/2016,1,HAVO,1,93.0,80,64,?
457605,42,Winterswijk,2014,CMD,218,27,Vrouw,2,CMD,6/27/2016,1,HAVO,1,55.6,90,84,?
458501,29,Doetinchem,2014,CMD,227,27,Man,2,Niet Behaald,0,0,HAVO,1,80.4,62,62,?
458728,27,Apeldoorn,2013,CMD,227,23,Man,3,INF,7/1/2014,1,HAVO,1,50.0,68,60,?
459460,29,Doetinchem,2014,CMD,212,35,Vrouw,2,CMD,6/30/2015,1,HAVO,1,83.3,85,79,?
461094,4,Arnhem,2014,CMD,273,35,Man,2,CMD,6/27/2016,1,MBO,0,76.7,50,68,?
461431,1,Arnhem,2014,CMD,244,26,Man,2,CMD,6/27/2016,1,HAVO,1,60.0,62,62,?
461759,25,Apeldoorn,2014,CMD,211,35,Vrouw,2,CMD,6/30/2015,1,HAVO,1,74.4,60,68,?
461891,25,Nijmegen,2014,CMD,216,26,Man,3,CMD,6/30/2015,1,HAVO,1,71.1,55,55,?
462224,13,Arnhem,2017,CMD,280,30,Man,2,CMD,6/27/2018,1,HAVO,1,78.9,95,91,0
462926,20,Ede Wageningen,2014,CMD,234,29,Man,1,Niet Behaald,0,0,HAVO,1,86.1,80,48,?
463066,30,Veenendaal,2014,CMD,211,22,Man,1,CMD,6/30/2015,1,HAVO,1,46.7,70,65,?
463083,20,Nijmegen,2016,CMD,258,30,Man,2,Niet Behaald,0,0,HAVO,1,3.2,64,67,0
463293,0,Arnhem,2014,CMD,264,18,Vrouw,1,CMD,6/30/2015,1,MBO,?,83.3,80,70,?
463499,12,Zevenaar,2014,CMD,279,24,Man,1,Niet Behaald,0,0,MBO,?,57.4,52,55,?
463632,6,Arnhem,2014,CMD,257,35,Man,4,CMD,6/30/2015,1,MBO,?,62.8,50,65,?
464063,16,Nijmegen,2016,CMD,239,31,Man,3,Niet Behaald,0,0,HAVO,1,0.0,0,0,0
464283,2,Arnhem,2016,CMD,260,26,Man,1,CMD,6/27/2018,1,HAVO,1,54.4,77,65,0
464464,2,Arnhem,2014,CMD,242,26,Man,1,Niet Behaald,0,0,VWO,1,47.4,65,65,?
464697,5,Arnhem,2014,CMD,231,27,Man,3,CMD,6/27/2016,1,HAVO,1,84.8,76,71,?
464733,14,Arnhem,2014,CMD,224,26,Vrouw,1,CMD,6/30/2015,1,HAVO,1,47.4,55,55,?
464926,2,Arnhem,2014,CMD,243,26,Vrouw,2,CMD,6/30/2017,1,HAVO,1,68.4,66,56,?
465202,24,Nijmegen,2014,CMD,282,35,Man,1,Niet Behaald,0,0,MBO,?,5.3,40,54,?
465206,30,Veenendaal,2014,CMD,217,26,Man,2,CMD,2/29/2016,1,HAVO,1,55.3,55,55,?
465452,16,Nijmegen,2014,CMD,275,27,Man,2,CMD,6/30/2015,1,MBO,?,86.1,70,71,?
465627,10,Nijmegen,2015,CMD,232,27,Man,2,Niet Behaald,0,0,HAVO,1,61.8,83,58,0
465865,14,Nijmegen,2015,CMD,224,29,Vrouw,1,CMD,6/27/2016,1,HAVO,1,83.3,90,73,?
466204,14,Arnhem,2014,CMD,275,35,Man,2,Niet Behaald,0,0,MBO,?,57.1,50,51,?
466603,16,Nijmegen,2015,CMD,234,28,Man,2,Niet Behaald,0,0,HAVO,1,21.0,72,62,0
467139,17,Nijmegen,2014,CMD,223,24,Man,4,CMD,6/30/2015,1,HAVO,1,68.5,86,71,?
467241,19,Nijmegen,2014,CMD,220,35,Man,2,CMD,6/30/2015,1,HAVO,1,72.1,70,69,?
467551,16,Nijmegen,2014,CMD,252,27,Man,2,CMD,6/30/2015,1,MBO,?,87.0,73,73,?
467571,2,Arnhem,2014,CMD,305,35,Man,2,CMD,6/27/2016,1,HAVO,0,81.8,75,72,?
468450,18,Nijmegen,2014,CMD,271,27,Man,2,CMD,6/30/2015,1,MBO,?,80.0,55,65,?
469285,3,Arnhem,2014,CMD,241,24,Man,1,CMD,6/30/2015,1,HAVO,1,77.8,55,62,?
469757,2,Arnhem,2014,CMD,221,22,Vrouw,2,CMD,6/30/2015,1,HAVO,1,24.4,80,68,?
469946,20,Nijmegen,2014,CMD,232,24,Man,2,CMD,6/30/2015,1,HAVO,1,75.9,83,65,?
470014,21,Nijmegen,2014,CMD,260,26,Man,1,CMD,6/30/2015,1,HAVO,1,80.0,76,75,?
470019,26,Ede Wageningen,2014,CMD,219,24,Man,4,CMD,6/27/2016,1,HAVO,1,77.8,73,55,?
