prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
262141,6,Arnhem,2/1/2014,CMD,308,22,Vrouw,3,CMD,6/30/2015,1,HAVO,1,76.7,90,80,?
302941,44,Amersfoort,9/1/2013,IN-4479,301,20,Vrouw,3,INF,6/30/2015,1,MBO,0,71.4,85,69,?
303564,22,Ede Wageningen,9/1/2017,ICT,346,19,Man,2,ICT,6/27/2018,1,HAVO,1,84.9,89,86,0
309026,25,Doetinchem,9/1/2014,CMD,289,26,Man,3,CMD,6/27/2016,1,MBO,0,68.3,62,67,?
309224,4,Arnhem,2/1/2014,IN-4479,294,19,Man,4,INF,6/30/2015,1,HAVO,1,96.3,95,74,?
311473,22,Nijmegen,9/1/2014,CMD,324,24,Man,5,CMD,6/30/2015,1,HAVO,0,75.9,73,72,?
325148,7,Nijmegen,9/1/2017,ICT,325,22,Man,1,ICT,6/26/2019,1,MBO,1,87.8,56,71,0
326044,2,Arnhem,2/1/2014,CMD,267,22,Man,1,CMD,6/30/2015,1,Anders,?,76.7,50,69,?
335110,13,Zevenaar,9/1/2013,BIM,273,23,Man,4,BIM,7/1/2014,1,HAVO,1,100.0,63,61,?
341640,0,Arnhem,9/1/2014,IN-4479,290,25,Man,3,INF,6/27/2016,1,HAVO,1,66.0,73,56,?
345770,12,Nijmegen,9/1/2014,IN-4479,288,25,Man,3,INF,6/27/2016,1,MBO,?,92.7,75,63,?
352700,3,Nijmegen,9/1/2014,TIF,254,26,Man,2,TIF,6/27/2016,1,MBO,?,79.5,90,56,?
359030,26,Den Bosch Eindhoven,9/1/2014,INF,261,26,Man,4,INF,6/30/2015,1,HAVO,1,75.5,75,69,?
360248,26,Nijmegen,9/1/2014,CMD,263,24,Vrouw,2,CMD,6/30/2015,1,HAVO,1,75.9,49,66,?
369653,21,Ede Wageningen,9/1/2014,IN-4479,263,26,Vrouw,3,INF,6/30/2015,1,HAVO,1,100.0,88,70,?
370674,12,Zevenaar,9/1/2014,BIMA,272,25,Man,3,CMD,6/30/2015,1,MBO,1,89.0,66,61,?
371532,8,Arnhem,9/1/2013,IN-4479,265,24,Man,5,INF,7/1/2014,1,HAVO,1,100.0,86,64,?
371558,32,Doetinchem,9/1/2016,ICT,297,31,Man,2,ICT,6/30/2017,1,MBO,1,91.2,83,84,0
378026,14,Nijmegen,9/1/2013,TIN,275,21,Man,2,INF,7/1/2014,1,VWO,1,100.0,76,80,?
382030,32,Doetinchem,9/1/2014,CMD,304,27,Man,2,CMD,6/27/2016,1,MBO,?,71.7,42,59,?
398304,39,Zuiden,2/1/2014,IN-4479,276,25,Man,3,INF,6/30/2015,1,HAVO,1,92.6,84,70,?
400294,3,Arnhem,9/1/2013,BIM,270,20,Man,4,INF,6/30/2015,1,HAVO,1,71.4,40,57,?
402460,9,Zevenaar,9/1/2014,IN-4479,244,29,Man,3,INF,6/27/2016,1,HAVO,0,80.0,68,67,?
403673,24,Nijmegen,9/1/2015,CMD,262,31,Man,7,CMD,6/27/2016,1,HAVO,1,86.4,73,67,0
403711,3,Nijmegen,9/1/2014,INF,274,25,Man,3,INF,6/27/2016,1,HAVO,1,80.6,82,59,?
403987,2,Arnhem,9/1/2016,CMD,284,25,Vrouw,6,CMD,6/30/2017,1,HAVO,1,61.9,76,72,0
404479,15,Zevenaar,9/1/2013,IN-4479,228,21,Man,3,INF,6/30/2015,1,HAVO,1,100.0,99,73,?
407433,21,Utrecht,9/1/2014,INF,256,31,Man,2,CMD,6/27/2018,1,HAVO,1,50.5,70,72,?
407659,5,Nijmegen,9/1/2014,INF,249,26,Man,3,INF,6/30/2015,1,HAVO,1,83.5,90,47,?
