prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
256798,4,Nijmegen,9/1/2015,ICT,362,24,Man,3,Niet Behaald,0,0,HAVO,1,4.5,0,0,0
262141,6,Arnhem,2/1/2014,CMD,308,22,Vrouw,3,CMD,6/30/2015,1,HAVO,1,76.7,90,80,?
267519,14,Nijmegen,9/1/2013,TIN,291,21,Man,3,Niet Behaald,0,0,HAVO,1,0.0,26,26,?
272450,6,Arnhem,9/1/2014,BIM,359,19,Man,4,Niet Behaald,0,0,VWO,1,17.5,51,53,?
286793,20,Nijmegen,9/1/2017,ICT,344,27,Man,2,Niet Behaald,0,0,HAVO,1,8.8,0,0,1
302941,44,Amersfoort,9/1/2013,IN-4479,301,20,Vrouw,3,INF,6/30/2015,1,MBO,0,71.4,85,69,?
303564,22,Ede Wageningen,9/1/2017,ICT,346,19,Man,2,ICT,6/27/2018,1,HAVO,1,84.9,89,86,0
305297,42,Winterswijk,9/1/2013,IN-4479,266,24,Man,3,Niet Behaald,0,0,HAVO,0,100.0,49,48,?
309026,25,Doetinchem,9/1/2014,CMD,289,26,Man,3,CMD,6/27/2016,1,MBO,0,68.3,62,67,?
309224,4,Arnhem,2/1/2014,IN-4479,294,19,Man,4,INF,6/30/2015,1,HAVO,1,96.3,95,74,?
311473,22,Nijmegen,9/1/2014,CMD,324,24,Man,5,CMD,6/30/2015,1,HAVO,0,75.9,73,72,?
314154,6,Arnhem,2/1/2014,IN-4479,293,25,Man,4,Niet Behaald,0,0,HAVO,0,6.7,75,61,?
325148,7,Nijmegen,9/1/2017,ICT,325,22,Man,1,ICT,6/26/2019,1,MBO,1,87.8,56,71,0
325338,1,Arnhem,9/1/2014,BIM,314,26,Man,4,Niet Behaald,0,0,MBO,?,88.2,72,54,?
326044,2,Arnhem,2/1/2014,CMD,267,22,Man,1,CMD,6/30/2015,1,Anders,?,76.7,50,69,?
334454,1,Nijmegen,9/1/2014,INF,339,27,Man,3,Niet Behaald,0,0,MBO,?,73.4,17,39,?
335110,13,Zevenaar,9/1/2013,BIM,273,23,Man,4,BIM,7/1/2014,1,HAVO,1,100.0,63,61,?
338952,29,Noord Gld Overijssel,9/1/2015,ICT,284,32,Man,2,Niet Behaald,0,0,HAVO,1,21.9,76,51,0
340608,28,Den Bosch Eindhoven,2/1/2016,CMD,295,31,Vrouw,2,Niet Behaald,0,0,HAVO,1,13.9,69,82,0
341640,0,Arnhem,9/1/2014,IN-4479,290,25,Man,3,INF,6/27/2016,1,HAVO,1,66.0,73,56,?
342356,18,Ede Wageningen,9/1/2014,CMD,294,27,Man,1,Niet Behaald,0,0,HAVO,0,71.7,55,54,?
344429,2,Nijmegen,9/1/2019,ICT,350,36,Man,1,Niet Behaald,0,0,MBO,?,63.2,52,45,0
345369,18,Nijmegen,9/1/2014,CMD,294,26,Man,4,Niet Behaald,0,0,HAVO,1,3.4,0,0,?
345770,12,Nijmegen,9/1/2014,IN-4479,288,25,Man,3,INF,6/27/2016,1,MBO,?,92.7,75,63,?
352700,3,Nijmegen,9/1/2014,TIF,254,26,Man,2,TIF,6/27/2016,1,MBO,?,79.5,90,56,?
359030,26,Den Bosch Eindhoven,9/1/2014,INF,261,26,Man,4,INF,6/30/2015,1,HAVO,1,75.5,75,69,?
360248,26,Nijmegen,9/1/2014,CMD,263,24,Vrouw,2,CMD,6/30/2015,1,HAVO,1,75.9,49,66,?
361395,1,Arnhem,9/1/2016,ICT,298,26,Man,2,Niet Behaald,0,0,HAVO,1,0.0,0,0,0
368426,17,Nijmegen,9/1/2016,CMD,299,27,Man,4,Niet Behaald,0,0,HAVO,1,50.9,65,59,0
368523,25,Apeldoorn,9/1/2014,IN-4479,251,29,Man,3,Niet Behaald,0,0,HAVO,1,0.0,100,100,?
369653,21,Ede Wageningen,9/1/2014,IN-4479,263,26,Vrouw,3,INF,6/30/2015,1,HAVO,1,100.0,88,70,?
370674,12,Zevenaar,9/1/2014,BIMA,272,25,Man,3,CMD,6/30/2015,1,MBO,1,89.0,66,61,?
371532,8,Arnhem,9/1/2013,IN-4479,265,24,Man,5,INF,7/1/2014,1,HAVO,1,100.0,86,64,?
371558,32,Doetinchem,9/1/2016,ICT,297,31,Man,2,ICT,6/30/2017,1,MBO,1,91.2,83,84,0
